run_id,experiment_iteration,source_equivalent_revision,constraint_id,day,hydro_id,bound_type,inequality_position,g_before,g_after,l_before,l_trial,l_corrected,linearized_constraint_increment,second_order_remainder,residual_before,residual_trial,residual_corrected,expected_damped_residual,closure_error,closure_tolerance,strictly_positive
20260811_101510_stage_B_WATER2_4168a6e9,1,28,INEQ-WATER-D014-HYDRO01-UPPER,14,1,upper,7249,-43.261851565606776,-51.433182953347568,43.268105717030103,51.433603711304691,51.433186080423283,-8.1717490186222026,0.00041763088140989169,0.0062541514233274142,0.00042075795712293029,3.1270757148149642e-06,3.1270757116633629e-06,3.151601226628227e-15,3.637978807091713e-12,true
20260811_101510_stage_B_WATER2_4168a6e9,1,28,INEQ-WATER-D014-HYDRO01-LOWER,14,1,lower,7250,-3848.2881484343961,-3840.1168170466553,3848.2818942830149,3840.1163962886981,3840.1168139195793,8.1717490186222026,-0.00041763088140989169,-0.0062541513811993354,-0.00042075795727214427,-3.127076070086332e-06,-3.1270756905993235e-06,-3.7948700857943726e-13,2.3283064365386963e-10,true
20260811_101510_stage_B_WATER2_4168a6e9,1,28,INEQ-WATER-D014-HYDRO02-UPPER,14,2,upper,7251,-42.726399616309209,-50.89488223328226,42.732227890767689,50.895239139986693,50.894885147419494,-8.1688366095402518,0.00035399256720047845,0.0058282744584801094,0.00035690670443244699,2.9141372337448956e-06,2.9141372292397336e-06,4.5051619939229671e-15,3.637978807091713e-12,true
20260811_101510_stage_B_WATER2_4168a6e9,1,28,INEQ-WATER-D014-HYDRO02-LOWER,14,2,lower,7252,-3791.433600383687,-3783.265117766714,3791.4277721092717,3783.2647608600096,3783.265114852577,8.1688366095402518,-0.00035399256720047845,-0.0058282744153075328,-0.00035690670438270899,-2.9141369850549381e-06,-2.9141372076534454e-06,2.2259850729781168e-13,2.3283064365386963e-10,true
20260811_101510_stage_B_WATER2_4168a6e9,1,28,INEQ-WATER-D014-HYDRO03-UPPER,14,3,upper,7253,-37.447914647287689,-44.496419264396536,37.449616331138749,44.496935532174291,44.496420115238465,-7.0490200340446743,0.0005154169358272398,0.0017016838510599541,0.00051626777775481969,8.5084192846807127e-07,8.5084192552988339e-07,2.938187887435717e-15,3.637978807091713e-12,true
20260811_101510_stage_B_WATER2_4168a6e9,1,28,INEQ-WATER-D014-HYDRO03-LOWER,14,3,lower,7254,-1968.0620853527143,-1961.0135807356055,1968.0603836688897,1961.0130644678277,1961.0135798847634,7.0490200340446743,-0.0005154169358272398,-0.0017016838246490806,-0.00051626777781166311,-8.5084207057661843e-07,-8.5084191232444661e-07,-1.5825217181066227e-13,1.1641532182693481e-10,true
20260811_101510_stage_B_WATER2_4168a6e9,1,28,INEQ-WATER-D014-HYDRO04-UPPER,14,4,upper,7255,-37.48318954077331,-44.545968583908689,37.484892184070397,44.546485282306527,44.54596943523034,-7.0632948902115684,0.0005158470761896794,0.0017026432970865812,0.00051669839783841098,8.5132165139611971e-07,8.5132164854319691e-07,2.8529227981080206e-15,3.637978807091713e-12,true
20260811_101510_stage_B_WATER2_4168a6e9,1,28,INEQ-WATER-D014-HYDRO04-LOWER,14,4,lower,7256,-1970.3468104592284,-1963.2840314160931,1970.3451078159578,1963.2835147176952,1963.2840305647715,7.0632948902115684,-0.0005158470761896794,-0.0017026432706188643,-0.00051669839785972727,-8.513216016581282e-07,-8.5132163530933837e-07,3.3651210166863832e-14,1.1641532182693481e-10,true
20260811_101510_stage_B_WATER2_4168a6e9,1,28,INEQ-WATER-D015-HYDRO01-UPPER,15,1,upper,7257,-31.512693129181571,-36.965856315917335,31.515079354491775,36.966334839486152,36.965857509029995,-5.4536405171919222,0.00047733045615760972,0.0023862253102038267,0.00047852356881605829,1.193112659336748e-06,1.1931126551017819e-06,4.2349661070453706e-15,3.637978807091713e-12,true
20260811_101510_stage_B_WATER2_4168a6e9,1,28,INEQ-WATER-D015-HYDRO01-LOWER,15,1,lower,7258,-3854.5473068708161,-3849.0941436840803,3854.5449206455482,3849.0936651605116,3849.0941424909679,5.4536405171919222,-0.00047733045615760972,-0.0023862252678554796,-0.00047852356874500401,-1.1931124390685e-06,-1.1931126339276085e-06,1.9485910852916767e-13,2.3283064365386963e-10,true
