iteration,constraint_id,day,hydro_id,bound_type,inequality_position,g_before,g_after,l_before,l_trial,full_correction_candidate_l,l_corrected,linearized_constraint_increment,second_order_remainder,applied_second_order_correction,correction_fraction,full_correction_centrality_safe,full_correction_feasible,residual_before,residual_trial,residual_corrected,expected_corrected_residual,closure_error,closure_tolerance,strictly_positive
1,INEQ-WATER-D001-HYDRO01-UPPER,1,1,upper,30981,29981.510000000002,24319.500104137827,1,6.2749325598213721,-1.2557712400268253,1.0136493625176781,-5669.5405996620229,7.5307037998481974,5.261283197303694,0.69864428838772674,false,false,29982.510000000002,24325.775036697647,24320.513753500345,24320.513753500345,0,1.862645149230957e-09,true
1,INEQ-WATER-D001-HYDRO01-LOWER,1,1,lower,30982,-33791.82,-28129.810104137825,33791.82,28122.279400337975,28129.810104137825,28127.540683535277,5669.5405996620229,-7.5307037998481974,-5.261283197303694,0.69864428838772674,false,false,0,-7.5307037998500164,-2.2694206025480526,-2.2694206025445038,-3.5487168759118504e-12,1.862645149230957e-09,true
1,INEQ-WATER-D001-HYDRO02-UPPER,1,2,upper,30983,29219.369999999974,23701.095652708267,1,6.2761281656028425,-1.0085966987400914,1.1866967466535945,-5525.5590721560493,7.2847248643429339,5.089431418949248,0.69864428838772674,false,false,29220.369999999974,23707.371780873869,23702.282349454919,23702.282349454923,-3.637978807091713e-12,1.862645149230957e-09,true
1,INEQ-WATER-D001-HYDRO02-LOWER,1,2,lower,30984,-33109.709999999977,-27591.435652708271,33109.709999999977,27584.150927843926,27591.435652708271,27589.240359262876,5525.5590721560493,-7.2847248643429339,-5.089431418949248,0.69864428838772674,false,false,0,-7.2847248643447529,-2.1952934453947819,-2.1952934453936854,-1.0964562591198046e-12,1.862645149230957e-09,true
1,INEQ-WATER-D001-HYDRO03-UPPER,1,3,upper,30985,17782.719999999998,14420.150024479201,1,6.2707870209102676,3.8874596354109254,4.6056889556730987,-3364.9533029062964,2.3833273854993422,1.6650980652371692,0.69864428838772674,false,false,17783.719999999998,14426.420811500111,14424.755713434874,14424.755713434875,-1.8189894035458565e-12,9.3132257461547852e-10,true
1,INEQ-WATER-D001-HYDRO03-LOWER,1,3,lower,30986,-19842.399999999994,-16479.830024479197,19842.399999999994,16477.446697093699,16479.830024479197,16479.111795158937,3364.9533029062964,-2.3833273854993422,-1.6650980652371692,0.69864428838772674,false,false,0,-2.383327385497978,-0.71822932026043418,-0.71822932026217301,1.7388313011679202e-12,1.862645149230957e-09,true
1,INEQ-WATER-D001-HYDRO04-UPPER,1,4,upper,30987,18329.610000000001,14863.822871891141,1,6.2695269929543205,3.7867028595963124,4.5349160931125407,-3468.2699522422172,2.4828241333580081,1.73461089984178,0.69864428838772674,false,false,18330.610000000001,14870.092398884095,14868.357787984254,14868.357787984254,0,9.3132257461547852e-10,true
1,INEQ-WATER-D001-HYDRO04-LOWER,1,4,lower,30988,-20340.720000000001,-16874.932871891142,20340.720000000001,16872.450047757782,16874.932871891142,16874.184658657625,3468.2699522422172,-2.4828241333580081,-1.73461089984178,0.69864428838772674,false,false,0,-2.4828241333598271,-0.74821323351716273,-0.74821323351622815,-9.3458574212945678e-13,1.862645149230957e-09,true
1,INEQ-WATER-D002-HYDRO01-UPPER,2,1,upper,30989,29909.029999999999,24260.600980278025,1,6.2751842973970913,-1.1437985976677094,1.0919542721138269,-5655.8480026170391,7.4189828950648007,5.1832300252832644,0.69864428838772674,false,false,29910.029999999999,24266.87616457542,24261.692934550138,24261.692934550141,-3.637978807091713e-12,1.862645149230957e-09,true
1,INEQ-WATER-D002-HYDRO01-LOWER,2,1,lower,30990,-33726.589999999997,-28078.160980278022,33726.589999999997,28070.741997382956,28078.160980278022,28075.925227408239,5655.8480026170391,-7.4189828950648007,-5.1832300252832644,0.69864428838772674,false,false,0,-7.4189828950657102,-2.2357528697830276,-2.2357528697815363,-1.4912515666765103e-12,1.862645149230957e-09,true
