iteration,constraint_id,day,hydro_id,bound_type,inequality_position,g_before,g_after,l_before,l_trial,full_correction_candidate_l,l_corrected,linearized_constraint_increment,second_order_remainder,applied_second_order_correction,correction_fraction,full_correction_centrality_safe,full_correction_feasible,residual_before,residual_trial,residual_corrected,expected_corrected_residual,closure_error,closure_tolerance,strictly_positive
1,INEQ-WATER-D014-HYDRO01-UPPER,14,1,upper,7249,29169.159999999996,22990.491720061669,1,6.6917841646163074,-1.7289770764228374,1.427220822428577,-6187.0890411793662,8.4207612410391448,5.2645633421877305,0.62518853005005393,false,false,29170.159999999996,22997.183504226286,22991.918940884098,22991.918940884098,0,1.862645149230957e-09,true
1,INEQ-WATER-D014-HYDRO01-LOWER,14,1,lower,7250,-33060.709999999999,-26882.041720061672,33060.709999999999,26873.620958820633,26882.041720061672,26878.885522162822,6187.0890411793662,-8.4207612410391448,-5.2645633421877305,0.62518853005005393,false,false,0,-8.4207612410391448,-3.1561978988502233,-3.1561978988514139,1.1906031716080179e-12,1.862645149230957e-09,true
1,INEQ-WATER-D014-HYDRO02-UPPER,14,2,upper,7251,29781.159999999974,23473.039735395447,1,6.6907840600217297,-1.9648350992199939,1.2793902411823126,-6316.7758837637693,8.6556191592417235,5.4113938188394171,0.62518853005005393,false,false,29782.159999999974,23479.730519455468,23474.31912563663,23474.319125636626,3.637978807091713e-12,1.862645149230957e-09,true
1,INEQ-WATER-D014-HYDRO02-LOWER,14,2,lower,7252,-33615.319999999971,-27307.199735395443,33615.319999999971,27298.5441162362,27307.199735395443,27303.955510055039,6316.7758837637693,-8.6556191592417235,-5.4113938188394171,0.62518853005005393,false,false,0,-8.655619159242633,-3.2442253404042276,-3.2442253404023069,-1.9206858326015208e-12,1.862645149230957e-09,true
1,INEQ-WATER-D014-HYDRO03-UPPER,14,3,upper,7253,18324.369999999995,14438.336455309072,1,6.6842117203546554,3.7366463612475531,4.8414276662680269,-3888.9811100500301,2.9475653591071023,1.8427840540866285,0.62518853005005393,false,false,18325.369999999995,14445.020667029426,14443.17788297534,14443.17788297534,0,9.3132257461547852e-10,true
1,INEQ-WATER-D014-HYDRO03-LOWER,14,3,lower,7254,-20329.879999999997,-16443.846455309074,20329.879999999997,16440.898889949967,16443.846455309074,16442.741674004053,3888.9811100500301,-2.9475653591071023,-1.8427840540866285,0.62518853005005393,false,false,0,-2.9475653591071023,-1.1047813050208788,-1.1047813050204738,-4.0500935938325711e-13,1.862645149230957e-09,true
1,INEQ-WATER-D014-HYDRO04-UPPER,14,4,upper,7255,18362.349999999999,14468.269360152452,1,6.6842504792241906,3.7354665745236142,4.8407046044091793,-3897.0294237522476,2.9487839047005764,1.8435458748150118,0.62518853005005393,false,false,18363.349999999999,14474.953610631675,14473.11006475686,14473.11006475686,0,9.3132257461547852e-10,true
1,INEQ-WATER-D014-HYDRO04-LOWER,14,4,lower,7256,-20370.18,-16476.099360152453,20370.18,16473.150576247754,16476.099360152453,16474.994122122567,3897.0294237522476,-2.9487839047005764,-1.8435458748150118,0.62518853005005393,false,false,0,-2.9487839046996669,-1.1052380298860953,-1.1052380298855646,-5.3068660577082483e-13,1.862645149230957e-09,true
1,INEQ-WATER-D015-HYDRO01-UPPER,15,1,upper,7257,29224,23034.166582625541,1,6.6915045515939839,-2.1848875047766212,1.1420860497236696,-6198.7098094308294,8.8763920563706051,5.5494185018703144,0.62518853005005393,false,false,29225,23040.858087177134,23035.308668675265,23035.308668675265,0,1.862645149230957e-09,true
1,INEQ-WATER-D015-HYDRO01-LOWER,15,1,lower,7258,-33110.059999999998,-26920.226582625539,33110.059999999998,26911.350190569166,26920.226582625539,26916.899609071035,6198.7098094308294,-8.8763920563706051,-5.5494185018703144,0.62518853005005393,false,false,0,-8.8763920563724241,-3.3269735545036383,-3.3269735545002912,-3.3471003746399219e-12,1.862645149230957e-09,true
